P38,PIP2,PIP3,PKA,PKC,p44/42,pakts473,pjnk,plcg,pmek,praf
31.9,41.4,2.21,325.0,22.9,19.1,33.7,20.7,2.57,19.5,58.8
38.5,12.4,30.8,403.0,22.5,20.2,37.9,20.9,10.9,12.7,53.8
28.9,79.1,24.4,429.0,14.7,36.2,48.7,12.6,18.9,23.1,58.3
31.3,115.0,16.1,1241.0,2.46,4.96,12.4,83.5,7.1,28.1,160.0
80.6,53.8,27.6,599.0,38.2,4.29,27.6,139.0,12.2,9.39,45.3
23.7,9.39,20.7,898.0,12.7,38.5,59.9,13.5,8.35,28.4,54.7
8.98,47.8,22.9,396.0,4.74,13.6,14.2,43.3,25.3,26.9,85.1
37.9,343.0,60.4,319.0,14.9,27.1,42.6,17.8,9.47,43.7,109.0
40.3,120.0,23.7,10.2,4.96,2.69,18.9,221.0,1.0,15.3,25.7
20.0,28.9,13.8,382.0,15.3,14.7,24.8,7.7,27.6,28.1,50.5
20.0,62.1,23.1,562.0,4.45,2.71,13.3,105.0,17.8,17.8,69.2
48.7,20.9,39.2,474.0,23.5,4.49,24.8,22.5,8.51,19.3,62.6
66.7,19.3,15.8,1433.0,31.9,17.8,38.5,40.0,11.4,43.7,67.9
46.1,15.4,24.6,233.0,21.3,21.9,36.2,17.0,4.91,57.8,75.0
32.8,122.0,48.3,1027.0,12.5,6.26,36.2,108.0,7.57,42.2,50.9
34.9,22.5,20.0,466.0,19.1,8.82,24.1,6.15,24.1,20.4,79.9
22.7,22.1,3.82,1310.0,8.74,39.2,75.7,11.7,21.9,21.7,62.6
26.9,76.4,17.2,673.0,4.66,9.06,15.4,173.0,6.38,25.3,50.9
43.7,51.4,42.2,466.0,20.4,25.3,35.5,10.1,13.6,30.5,75.0
32.5,20.7,27.9,29.7,17.2,3.62,12.4,10.5,11.7,25.3,59.4
38.2,292.0,49.6,573.0,20.9,6.38,13.1,17.6,1.0,37.9,181.0
121.0,67.3,1.91,973.0,85.8,4.07,27.1,32.5,12.7,33.1,69.8
80.6,42.2,6.61,547.0,44.9,5.83,13.5,71.7,11.1,19.1,57.3
16.7,18.6,6.92,418.0,6.55,23.5,37.5,95.6,13.9,30.5,82.8
23.3,35.5,11.9,322.0,6.79,21.9,45.7,11.9,15.7,24.6,35.5
33.1,42.6,17.3,188.0,20.7,2.84,20.7,17.5,17.9,27.9,80.6
20.0,154.0,58.3,337.0,5.47,13.1,21.5,9.39,10.8,45.7,113.0
42.2,89.0,29.4,1731.0,24.1,181.0,355.0,20.7,10.3,10.1,8.9
47.4,20.2,32.2,583.0,37.5,12.9,22.5,9.47,7.1,14.1,35.2
59.9,62.6,26.7,547.0,25.7,9.14,16.5,80.6,12.7,12.3,24.1
35.5,28.6,13.7,319.0,22.5,16.3,24.1,12.4,5.78,33.1,164.0
27.1,57.3,19.5,382.0,3.05,25.9,34.6,78.4,15.5,27.1,57.8
42.9,97.3,71.0,429.0,4.45,10.9,18.9,80.6,40.0,27.4,90.6
7.37,22.7,23.7,578.0,1.86,4.22,10.8,3.43,4.37,12.7,38.5
14.9,40.3,21.7,667.0,2.5,12.7,25.9,64.9,12.7,36.8,51.4
24.4,20.5,8.43,437.0,11.7,20.4,38.5,15.4,18.6,15.1,26.9
39.6,21.1,57.8,474.0,25.9,14.1,19.8,75.7,12.7,21.1,56.2
22.3,45.7,47.8,418.0,10.0,18.8,31.6,6.67,18.4,35.5,70.4
19.8,16.5,24.1,362.0,16.3,18.4,33.7,10.4,12.2,35.2,58.8
31.1,50.0,19.8,151.0,12.0,8.51,18.6,27.6,17.3,35.5,69.2
47.8,276.0,77.0,799.0,19.6,32.8,51.4,16.4,25.5,47.0,69.8
48.3,19.6,15.1,1065.0,1.67,6.85,23.1,4.66,20.0,59.9,105.0
25.0,30.2,10.6,692.0,6.49,14.3,37.9,91.4,13.6,51.9,62.1
31.1,31.6,1.0,505.0,18.6,19.8,27.6,7.64,1.0,33.4,75.0
22.7,101.0,35.9,400.0,11.7,9.14,22.9,6.85,7.99,15.1,20.4
43.3,33.1,82.0,956.0,22.5,17.9,35.2,20.0,17.5,19.6,47.8
29.4,77.7,12.9,1407.0,18.8,11.1,37.9,16.8,11.8,53.3,59.9
31.3,109.0,21.9,207.0,11.0,21.5,38.2,12.0,12.4,27.1,46.6
39.2,58.8,10.8,3051.0,15.3,58.8,200.0,15.7,49.1,21.3,51.9
68.5,12.7,4.61,562.0,1.0,6.73,15.0,8.2,15.1,23.9,31.9
6.98,138.0,30.8,906.0,2.69,28.1,46.1,71.0,67.3,27.4,93.9
20.0,12.6,9.06,806.0,2.37,19.6,35.2,7.91,15.3,23.3,64.9
12.0,34.6,63.8,470.0,1.0,8.58,26.2,9.91,12.0,123.0,153.0
36.2,235.0,34.9,1843.0,23.5,44.9,64.9,30.5,7.04,12.4,16.7
16.4,12.0,43.3,655.0,7.7,12.2,31.3,49.1,13.1,25.5,71.7
33.4,4.26,12.9,470.0,7.77,13.0,22.7,16.3,2.89,23.7,35.5
2.69,34.6,12.3,239.0,2.53,3.46,19.5,6.1,13.0,61.5,83.5
48.7,154.0,56.7,433.0,9.56,16.8,16.0,54.2,12.9,8.82,31.9
15.4,125.0,27.4,799.0,2.71,89.0,150.0,49.1,7.7,20.2,29.4
36.5,25.7,10.7,313.0,10.8,29.2,38.2,17.2,17.6,325.0,302.0
15.3,505.0,67.3,483.0,2.92,19.3,29.7,89.0,11.5,16.5,40.3
24.6,23.1,71.0,557.0,20.0,6.38,47.0,7.7,9.73,15.4,29.2
39.2,24.4,37.2,375.0,5.47,16.8,35.9,95.6,12.7,25.7,46.1
25.0,155.0,67.9,820.0,3.59,7.23,23.9,93.1,27.1,21.5,52.3
22.7,10.6,13.9,1009.0,10.2,6.1,25.9,15.3,18.6,36.5,48.7
21.9,325.0,79.1,723.0,12.1,6.61,10.9,5.42,120.0,82.0,85.8
36.8,64.4,45.3,583.0,15.7,8.28,28.4,13.7,21.5,25.9,75.7
21.5,18.4,30.2,982.0,16.3,5.47,17.2,15.5,14.9,21.9,58.3
18.4,82.8,38.2,379.0,6.55,22.5,27.9,48.7,13.3,34.9,58.8
29.7,67.9,30.5,403.0,17.8,10.8,16.7,7.77,28.4,27.6,112.0
30.8,10.9,32.2,379.0,14.3,22.9,32.2,17.6,2.39,29.2,66.7
20.0,137.0,20.4,313.0,16.1,22.7,38.2,10.5,6.61,23.9,39.6
28.6,8.35,40.0,281.0,21.3,15.8,34.6,13.9,2.55,15.5,36.5
67.9,59.4,138.0,331.0,38.5,24.1,36.5,16.3,32.2,25.7,38.2
17.3,7.91,32.5,858.0,2.81,13.3,61.0,64.4,9.39,21.3,41.8
13.5,113.0,25.5,604.0,4.26,17.0,34.6,72.3,24.8,18.1,62.1
29.2,111.0,20.2,1472.0,20.4,28.4,89.0,12.9,9.65,79.1,167.0
4.45,51.9,64.9,271.0,2.21,7.5,17.6,9.73,25.9,28.6,55.7
25.0,93.1,36.5,906.0,9.06,8.9,17.8,42.2,12.9,71.7,84.3
49.6,27.4,44.5,1197.0,20.9,44.5,64.9,17.5,19.1,25.3,60.4
21.5,38.5,81.3,274.0,16.0,5.83,12.9,14.9,38.2,21.9,57.3
27.4,60.4,49.6,87.4,11.1,5.47,14.3,7.43,30.0,32.8,76.4
75.0,71.0,13.9,500.0,50.9,19.5,32.2,26.9,15.5,119.0,96.5
20.4,115.0,61.0,965.0,5.0,10.6,21.3,34.9,32.2,17.8,38.5
13.8,19.6,75.7,519.0,12.0,15.7,17.8,14.9,7.7,46.6,66.1
31.1,15.0,35.9,382.0,14.9,10.6,32.2,12.0,7.37,79.1,112.0
13.9,73.0,24.1,340.0,5.62,3.49,11.4,93.9,12.2,22.3,47.0
40.7,8.58,24.8,757.0,24.6,15.8,33.1,25.0,19.6,54.7,87.4
8.35,19.1,11.3,743.0,8.66,18.8,57.3,24.4,22.9,19.1,57.8
17.6,22.3,34.3,385.0,7.23,13.6,29.4,7.99,18.9,31.1,92.2
20.2,11.4,23.1,319.0,4.14,20.4,24.8,122.0,9.56,28.9,93.1
25.5,38.9,29.2,276.0,1.83,18.8,28.1,97.3,16.0,36.8,107.0
5.57,27.6,4.03,491.0,3.52,5.28,5.88,24.4,16.1,56.7,80.6
16.1,158.0,12.3,514.0,6.55,14.2,26.2,33.7,1.0,25.3,44.9
19.8,13.2,9.73,286.0,1.88,18.6,54.7,88.2,9.65,18.8,27.4
28.4,35.2,25.7,284.0,20.4,14.1,25.7,48.3,24.6,25.7,31.6
68.5,25.5,5.73,305.0,34.9,30.5,42.9,20.4,8.13,33.4,52.3
20.2,18.3,23.1,649.0,3.82,14.1,27.4,53.8,8.82,27.4,71.7
32.5,87.4,12.5,379.0,3.68,4.53,16.0,77.0,15.5,26.9,44.5
24.6,22.7,2.0,457.0,13.6,6.26,15.1,6.55,16.4,27.4,74.3
40.0,17.8,39.2,487.0,30.5,22.3,30.2,23.7,13.9,20.2,44.1
24.4,17.8,21.9,710.0,12.6,13.1,36.8,65.5,17.3,22.9,42.9
16.0,3.96,41.4,509.0,3.68,8.06,20.4,63.2,1.19,26.4,79.1
94.7,47.0,7.37,2288.0,69.8,52.8,97.3,8.28,44.9,30.0,89.0
32.8,80.6,41.0,453.0,13.6,15.1,38.2,13.1,14.5,27.4,63.2
44.5,70.4,42.2,313.0,24.8,6.98,21.3,23.1,25.3,20.7,27.9
25.3,17.5,9.73,255.0,13.0,20.7,28.1,9.73,19.3,22.9,69.8
53.8,37.9,49.1,509.0,22.1,13.0,23.5,35.9,22.7,15.7,28.9
26.9,82.0,49.1,343.0,3.96,20.2,25.0,87.4,7.17,30.8,102.0
14.5,61.5,26.2,239.0,2.74,22.5,36.5,77.7,14.9,25.3,59.4
60.4,22.5,8.74,426.0,29.7,25.0,37.5,24.1,18.8,31.3,89.8
14.2,56.2,16.1,305.0,4.26,21.7,35.5,95.6,19.5,33.1,200.0
125.0,149.0,62.1,698.0,44.1,4.49,20.7,57.3,14.9,18.1,62.1
31.6,276.0,41.4,334.0,16.7,15.0,19.5,11.8,17.9,23.7,46.1
46.6,7.99,17.8,1208.0,26.4,29.2,69.2,30.0,8.43,85.1,149.0
25.7,153.0,16.0,1582.0,12.2,40.3,61.5,12.0,7.91,15.5,8.9
30.8,24.4,73.0,487.0,17.9,12.3,23.1,15.1,9.82,40.0,109.0
33.4,23.9,10.5,2571.0,1.0,8.13,34.9,1.01,31.1,42.9,71.7
38.5,47.8,13.9,649.0,18.6,5.94,17.2,17.8,16.3,24.4,68.5
51.4,89.8,28.1,632.0,20.4,39.2,82.8,35.9,4.45,44.1,79.9
41.8,325.0,23.5,799.0,23.9,44.1,86.6,16.7,1.0,34.9,85.1
6.61,311.0,59.9,470.0,2.15,22.9,25.3,2.81,3.85,163.0,196.0
37.5,26.4,10.9,322.0,23.3,29.4,42.6,19.3,25.7,17.3,38.5
54.7,12.4,3.11,573.0,25.0,22.5,30.0,20.9,12.7,50.9,64.4
36.2,101.0,31.3,352.0,13.9,19.6,25.3,9.82,17.5,22.7,97.3
66.1,6.73,66.7,1655.0,40.0,27.4,53.3,20.4,7.3,28.4,79.1
31.9,61.0,16.1,1018.0,15.4,70.4,108.0,14.2,1.35,24.8,106.0
29.4,141.0,12.1,297.0,6.15,19.3,34.0,118.0,8.51,30.8,76.4
30.2,41.0,30.8,1094.0,11.5,6.61,27.4,67.3,21.5,30.8,108.0
16.4,41.0,56.2,965.0,3.43,3.79,30.8,70.4,18.3,34.6,53.3
36.2,106.0,23.7,519.0,14.9,14.7,21.3,16.5,24.4,19.3,27.9
9.47,20.4,17.0,533.0,2.41,18.9,45.3,74.3,21.9,26.2,69.8
18.1,119.0,14.1,445.0,3.0,8.82,23.7,66.7,17.8,5.88,7.23
21.9,29.4,15.0,470.0,1.88,17.6,28.1,59.4,14.9,18.8,49.1
44.9,62.6,16.5,552.0,6.98,3.79,10.3,271.0,53.3,15.7,42.6
28.1,10.9,46.1,874.0,12.5,3.59,13.6,2.89,9.22,22.9,16.5
11.4,13.0,27.9,215.0,5.14,7.99,11.1,58.8,17.9,61.0,101.0
44.9,17.2,13.3,965.0,9.22,8.82,24.8,3.85,11.5,21.9,59.9
33.4,104.0,13.3,914.0,13.7,36.8,65.5,11.0,11.3,46.1,102.0
29.2,422.0,101.0,649.0,8.43,11.3,19.5,138.0,26.9,101.0,142.0
20.9,10.1,16.7,542.0,11.1,14.9,33.1,154.0,17.8,17.2,61.5
17.5,35.2,32.5,599.0,1.63,11.7,18.1,67.9,15.5,20.4,54.7
39.6,13.6,24.8,509.0,18.3,11.7,28.9,23.3,4.78,19.5,50.5
63.2,38.2,98.2,704.0,32.8,34.0,59.4,50.9,26.7,13.3,34.0
20.4,43.7,44.9,466.0,1.6,8.58,24.4,64.9,32.8,19.5,48.7
18.8,145.0,21.1,255.0,4.83,4.53,24.6,51.9,12.3,25.3,70.4
23.5,94.7,17.2,244.0,3.08,8.43,16.0,93.9,6.32,19.1,45.7
29.7,27.4,46.6,3220.0,17.8,66.7,164.0,18.3,25.3,33.1,78.4
23.1,94.7,117.0,355.0,9.82,23.7,36.5,18.9,32.5,11.4,17.6
22.1,21.5,8.13,610.0,2.07,15.4,71.7,57.3,15.1,26.4,29.4
31.3,38.2,50.0,461.0,20.5,4.41,13.9,13.2,7.64,21.1,63.8
39.2,32.8,22.3,362.0,19.6,10.8,10.1,12.1,28.6,155.0,227.0
25.3,33.4,8.58,1252.0,12.6,7.7,23.1,1.11,13.7,29.7,64.4
38.9,71.0,31.6,505.0,18.9,14.3,17.9,33.1,19.5,15.3,57.8
43.7,178.0,31.6,255.0,28.1,21.5,33.1,12.5,13.5,23.7,75.0
16.0,109.0,16.3,445.0,3.85,6.85,17.8,63.8,52.3,25.0,48.7
19.6,32.5,3.72,1346.0,1.42,9.56,25.7,79.9,27.4,53.3,61.0
32.5,15.5,31.6,5.57,6.15,3.85,22.3,73.0,16.1,46.1,96.5
24.1,93.9,14.9,474.0,16.4,11.5,18.6,7.3,12.5,26.2,54.7
36.5,75.0,14.1,562.0,18.3,4.33,11.1,13.3,66.1,39.2,118.0
47.0,39.2,16.1,1000.0,17.3,12.2,37.9,23.1,29.7,56.2,96.5
37.9,18.9,3.85,710.0,21.1,23.1,42.9,18.6,24.4,52.8,89.0
138.0,48.3,75.0,308.0,89.0,19.1,33.7,46.6,21.5,38.5,25.3
12.9,51.4,14.5,882.0,3.34,53.3,118.0,30.5,20.9,46.1,96.5
21.3,133.0,30.0,403.0,9.56,21.5,24.1,13.6,18.1,34.9,62.6
31.9,75.7,63.2,400.0,19.3,13.3,19.3,29.4,47.4,20.0,18.3
33.1,17.0,12.7,334.0,5.88,18.8,31.1,138.0,12.9,32.5,65.5
23.1,32.2,27.4,777.0,6.38,38.5,47.0,56.2,14.9,41.0,85.1
25.9,26.2,42.6,385.0,5.42,4.91,9.91,98.2,36.5,25.0,79.9
32.5,26.9,23.9,422.0,22.9,19.1,40.3,24.4,8.2,20.2,42.2
43.7,68.5,28.6,267.0,20.5,10.9,6.55,21.9,10.2,19.1,61.0
47.0,155.0,21.3,389.0,17.3,17.2,26.4,23.7,6.1,10.9,17.5
34.6,63.8,126.0,552.0,20.9,9.73,19.8,15.4,33.4,22.3,36.5
15.5,167.0,31.3,286.0,5.19,19.1,32.8,108.0,21.7,14.9,14.6
35.2,26.9,8.58,284.0,17.0,21.5,36.2,14.9,25.7,24.4,17.3
38.9,127.0,29.7,337.0,25.9,26.9,53.8,20.5,65.5,10.9,63.2
46.1,157.0,48.3,1499.0,28.9,15.5,117.0,10.7,12.5,16.0,35.2
37.2,173.0,37.2,604.0,15.8,5.57,12.4,18.8,14.5,27.6,57.3
20.5,114.0,15.8,1000.0,13.6,16.7,30.0,17.3,15.0,15.5,24.4
24.1,135.0,27.9,385.0,14.3,29.2,42.9,9.06,14.6,40.7,69.8
28.9,53.8,75.0,1382.0,10.6,10.6,33.1,4.26,44.9,35.9,74.3
32.5,88.2,16.8,730.0,17.2,49.6,72.3,17.9,16.5,35.5,101.0
13.2,21.1,12.7,379.0,1.0,23.9,34.3,8.66,22.1,17.2,41.4
63.2,17.2,32.8,158.0,25.7,5.28,12.3,31.9,11.4,66.1,82.0
30.5,10.3,2.48,382.0,18.8,19.5,31.3,3.49,18.8,38.2,86.6
38.2,155.0,13.5,195.0,20.5,17.3,86.6,15.8,20.7,7.23,14.1
41.0,14.5,49.1,750.0,25.5,38.2,83.5,15.0,2.81,52.3,89.8
14.6,178.0,48.3,528.0,3.82,11.3,27.1,68.5,27.6,41.4,97.3
30.2,34.9,35.5,505.0,13.9,17.5,39.2,10.2,11.0,13.7,26.9
1.53,20.7,15.5,407.0,1.78,3.31,13.7,55.2,13.7,21.3,89.0
36.5,12.6,20.0,269.0,24.4,21.7,35.9,11.3,17.6,23.9,66.1
40.3,382.0,87.4,305.0,6.49,7.64,8.13,87.4,25.3,53.3,129.0
47.0,85.8,46.1,599.0,21.9,7.23,12.1,17.8,37.5,19.3,39.2
11.9,12.0,36.2,346.0,5.78,29.7,41.0,26.4,4.03,18.6,25.0
40.0,98.2,29.7,365.0,23.3,5.33,22.9,21.1,7.17,19.3,45.7
89.0,57.3,12.1,422.0,1.0,14.9,21.5,1.57,25.0,20.5,62.1
37.5,83.5,131.0,25.3,23.9,4.83,20.5,17.8,20.2,32.5,71.0
28.6,11.3,14.9,181.0,17.5,14.7,113.0,9.22,6.67,31.6,50.0
33.4,12.9,21.7,523.0,10.1,8.58,18.3,104.0,4.41,31.6,102.0
9.82,16.5,3.11,542.0,3.49,6.44,17.5,4.53,11.2,24.6,63.2
18.9,87.4,20.4,359.0,1.0,13.3,18.4,58.8,14.5,66.1,233.0
35.9,36.8,17.5,1075.0,11.8,42.6,80.6,11.3,18.9,24.1,38.9
50.5,23.1,16.1,547.0,22.9,12.0,22.7,15.4,6.04,44.1,98.2
39.6,6.49,26.2,219.0,10.7,22.7,26.7,71.7,8.66,24.6,38.9
13.8,22.7,13.9,311.0,10.8,26.2,47.8,9.65,22.5,29.4,87.4
28.9,71.7,2.27,418.0,14.7,6.26,15.5,12.7,1.0,21.5,75.7
32.8,80.6,23.7,396.0,20.0,7.77,15.1,18.6,15.7,18.9,79.9
38.9,54.7,47.4,661.0,11.2,43.7,57.3,98.2,19.3,19.5,52.8
25.9,35.2,12.9,1358.0,9.73,70.4,109.0,91.4,33.7,17.0,63.8
12.4,17.6,45.7,500.0,4.53,7.84,21.1,69.8,7.99,44.9,107.0
51.9,76.4,16.3,667.0,18.4,31.1,59.4,18.4,17.0,18.4,59.4
27.9,61.5,24.8,542.0,7.7,16.0,36.2,167.0,48.7,74.3,106.0
43.3,16.8,14.5,655.0,24.8,7.99,16.7,14.3,11.7,40.7,71.0
27.9,24.4,17.0,392.0,12.3,4.29,11.1,29.2,23.7,13.1,21.5
26.7,120.0,31.6,1762.0,19.1,29.4,54.2,8.9,33.7,51.4,149.0
21.1,112.0,18.1,346.0,5.0,17.9,36.5,57.3,17.8,12.3,25.9
31.1,30.0,35.2,349.0,13.7,13.3,34.9,16.1,12.3,48.3,64.4
10.4,16.4,37.9,414.0,4.14,15.3,22.9,68.5,15.5,11.3,36.2
22.3,44.5,4.49,302.0,17.9,30.2,50.0,10.3,12.9,26.7,51.9
17.2,308.0,38.2,355.0,8.13,11.8,29.4,89.8,9.65,7.57,21.7
24.6,14.3,13.0,300.0,13.2,23.5,40.0,13.0,17.6,35.9,93.9
41.4,88.2,30.0,414.0,25.3,24.4,32.5,16.4,13.6,20.5,56.7
49.6,75.0,14.3,466.0,24.8,13.2,29.2,29.2,11.0,16.1,66.1
52.8,99.1,50.0,1346.0,25.3,29.7,50.5,13.2,11.2,17.0,27.6
33.7,19.8,10.1,400.0,25.7,25.3,39.2,20.9,21.7,33.4,49.1
10.3,21.7,45.3,49.1,7.77,5.99,45.3,41.0,12.3,51.9,157.0
24.1,16.3,17.5,466.0,9.47,16.1,25.0,262.0,13.5,33.4,124.0
58.8,39.2,6.85,239.0,4.07,2.53,13.9,89.0,34.6,16.4,37.9
23.5,15.1,13.3,474.0,2.05,12.3,22.9,106.0,22.1,25.5,45.3
38.5,53.8,15.4,316.0,18.9,40.3,53.3,13.2,33.1,86.6,163.0
45.3,37.2,44.9,400.0,24.6,5.0,4.29,28.6,8.58,33.7,62.6
61.0,43.7,13.3,1037.0,30.8,6.04,21.9,14.2,43.7,15.3,26.4
43.7,85.1,88.2,1446.0,19.5,11.9,32.2,20.7,13.3,29.7,52.3
34.0,25.0,4.53,621.0,15.3,181.0,248.0,22.1,21.5,24.8,81.3
48.7,281.0,64.4,496.0,26.2,26.4,45.3,10.4,5.0,38.2,95.6
22.1,117.0,17.3,828.0,8.82,30.0,71.0,12.6,5.05,29.4,79.9
26.4,121.0,30.8,717.0,16.0,10.4,14.7,8.35,15.1,14.6,17.3
17.6,73.7,36.2,1219.0,1.98,15.5,35.5,77.0,42.6,37.9,51.4
42.9,17.0,17.5,470.0,27.4,29.4,41.8,16.0,3.13,7.3,38.5
23.5,13.6,42.6,1000.0,12.4,36.8,62.6,23.7,3.65,53.3,52.8
50.0,38.2,1.49,1009.0,29.7,10.5,27.1,33.4,17.0,40.3,91.4
24.8,32.8,12.1,487.0,2.11,17.9,42.9,66.7,13.3,14.2,37.9
30.8,32.5,13.6,2618.0,10.1,55.7,97.3,58.3,7.5,18.8,55.2
58.3,178.0,45.3,982.0,1.0,21.1,57.3,8.43,15.5,24.8,44.5
53.3,17.3,13.7,349.0,17.0,19.1,36.8,22.3,20.4,30.0,70.4
36.8,21.7,31.6,400.0,3.89,33.1,87.4,96.5,19.8,30.5,47.4
19.8,184.0,36.2,359.0,3.96,20.5,26.2,80.6,22.7,21.7,63.8
36.2,29.2,27.4,154.0,20.7,1.5,8.51,13.5,12.1,42.9,23.5
19.6,93.9,7.7,1094.0,9.39,133.0,297.0,4.14,22.1,15.1,5.23
48.3,117.0,3.49,457.0,20.4,16.0,29.4,16.0,1.0,15.4,14.5
26.2,12.6,15.8,271.0,12.1,20.0,30.0,85.8,12.2,9.47,36.8
23.3,12.9,17.3,352.0,12.6,6.98,9.22,20.9,17.6,25.3,97.3
15.4,149.0,39.6,1027.0,9.56,43.3,64.4,67.3,67.3,12.1,16.3
59.4,184.0,58.8,286.0,1.0,32.5,43.3,3.68,33.1,31.3,44.5
15.1,97.3,37.5,331.0,5.42,22.1,36.8,94.7,17.5,53.3,67.9
17.0,81.3,18.1,2129.0,8.58,79.9,165.0,7.57,18.9,28.1,59.4
18.8,24.1,36.8,313.0,9.91,15.3,32.2,9.22,21.5,17.2,25.9
33.7,98.2,19.5,365.0,19.3,40.0,75.7,14.7,11.3,32.8,40.0
20.5,337.0,60.4,496.0,9.91,12.7,25.0,9.56,17.0,24.8,60.4
23.3,136.0,30.0,1526.0,1.54,57.8,91.4,59.9,17.0,24.6,50.5
26.7,191.0,13.0,466.0,13.7,10.6,21.9,15.0,6.15,18.8,31.1
24.8,15.1,29.2,331.0,18.8,12.7,19.3,10.9,17.5,17.9,11.2
19.3,14.2,24.4,1670.0,8.06,92.2,235.0,18.4,23.1,28.4,39.2
21.3,37.2,25.7,1075.0,7.04,7.3,23.3,35.5,18.4,27.1,72.3
20.2,379.0,78.4,343.0,14.1,31.3,50.0,9.65,25.0,16.1,62.1
59.4,32.8,19.6,385.0,31.9,3.37,14.1,28.1,30.5,12.9,12.7
31.6,11.1,3.02,737.0,17.0,67.3,129.0,7.77,7.5,17.9,49.6
32.5,125.0,10.3,418.0,17.3,5.73,22.5,12.4,13.1,22.7,62.6
21.1,49.1,12.9,483.0,2.35,11.0,22.9,85.8,23.9,5.33,10.8
14.7,36.5,50.0,70.4,3.0,4.26,17.2,92.2,13.5,26.4,74.3
44.9,213.0,23.5,429.0,1.67,16.5,19.1,3.0,6.79,21.7,73.0
13.8,145.0,33.4,305.0,1.6,8.58,11.0,62.6,16.7,6.38,10.9
25.3,123.0,11.9,422.0,11.2,11.5,23.9,14.2,11.0,18.9,55.2
39.6,13.5,15.5,538.0,17.9,5.67,30.2,14.6,18.4,13.9,56.7
35.2,165.0,34.6,433.0,19.5,24.6,31.9,21.5,11.8,61.5,97.3
44.5,47.0,85.8,1124.0,17.5,3.55,30.0,157.0,19.3,19.5,45.3
27.6,89.8,47.0,407.0,11.1,19.5,46.1,122.0,17.0,16.5,45.3
35.5,34.0,38.9,449.0,2.59,21.5,38.5,3.75,17.8,271.0,248.0
32.2,164.0,35.9,313.0,14.1,20.5,33.4,13.9,19.8,34.0,58.3
53.8,133.0,9.22,552.0,26.9,4.1,10.8,25.9,10.8,46.1,112.0
25.7,153.0,35.2,457.0,11.2,12.9,35.5,1.19,17.9,15.0,16.0
